序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,动态市盈率,换手率,封单资金,最后封板时间,板上成交额,连续跌停,开板次数,所属行业,date
1,002963,豪尔赛,-10.0,18.99,109317430,2335656971.52,2855335070.7,-152.03822326660156,4.433385372161865,13293,150000,4172103,1,0,装修装饰,2026-07-06
2,605222,起帆电缆,-9.992070198059082,22.7,565758560,9373005993.1,9373006152.0,24.57760238647461,5.731407642364502,1323410,150000,4898660,1,1,电网设备,2026-07-06
3,920193,吉和昌,-29.989919662475586,55.56,1060648944,1400112000.0,6185539248.0,61.513187408447266,66.47816467285156,2425138,145643,91297917,1,10,电池,2026-07-06
4,001317,三羊马,-9.993805885314941,43.59,368482576,3726135228.57,3729813134.82,-3127.06689453125,9.654736518859863,3046635,134857,48829518,1,10,铁路公路,2026-07-06
5,688669,聚石化学,-20.0,89.76,725707424,10890880059.84,10890880059.84,-45.56367492675781,6.122081756591797,3307835,145537,46796788,1,7,塑料,2026-07-06
6,002552,宝鼎科技,-10.003059387207031,58.84,887652672,21682733524.760002,22829056699.52,86.41287994384766,3.812124252319336,3400952,145254,19334824,1,0,元件,2026-07-06
7,603682,锦和商管,-10.033445358276367,8.07,163730718,3813075000.0,3813075000.0,104.61132049560547,4.206137657165527,4616040,150000,17061594,1,7,一般零售,2026-07-06
8,600769,祥龙电业,-10.009182929992676,19.6,679440752,7349553120.000001,7349553120.000001,386.7815246582031,8.91091537475586,4656960,150000,80981320,1,5,环境治理,2026-07-06
9,605598,上海港湾,-9.99281120300293,37.56,277178976,9127711346.04,9127711346.04,571.6790161132812,2.919386625289917,4766364,130245,31035828,1,11,专业工程,2026-07-06
10,603626,科森科技,-9.985527992248535,18.66,661829296,10354055015.4,10354055127.36,6.7151689529418945,6.143825054168701,5081118,150000,48745518,1,7,消费电子,2026-07-06
11,603978,深圳新星,-10.013262748718262,27.14,538144848,5729099274.86,5729099274.86,79.39256286621094,8.987618446350098,6310050,150000,36497162,1,5,金属新材,2026-07-06
12,603278,大业股份,-9.991743087768555,10.9,422780160,3725177372.8,3725177372.8,-37.9228401184082,10.937548637390137,7549340,150000,16031720,1,4,通用设备,2026-07-06
13,600783,鲁信创投,-10.008976936340332,20.05,932565184,14924403844.7,14924403884.800001,-239.99815368652344,6.0265326499938965,9281145,150000,22809140,1,2,通用设备,2026-07-06
14,603679,华体科技,-9.985315322875977,18.39,239055914,3267649530.63,3267649530.63,-57.89533233642578,7.064906120300293,9708963,132319,73409202,1,11,光学光电,2026-07-06
15,600869,远东股份,-9.98242473602295,25.61,4364006912,56837623825.06,56837623978.72,147.05213928222656,7.431574821472168,11112179,150000,103140867,1,5,电网设备,2026-07-06
16,002575,群兴玩具,-10.0,5.04,242205613,2945000520.0,3107160000.0,-872.4358520507812,7.8404011726379395,12588408,144012,30694711,1,1,文娱用品,2026-07-06
17,002565,顺灏股份,-9.992070198059082,11.35,933869936,12030491202.199999,12030874332.8,150.5113067626953,7.455005645751953,13290850,145345,19032815,1,0,包装印刷,2026-07-06
18,002106,莱宝高科,-9.979494094848633,13.17,887307616,9283565477.22,9295598827.2,66.6044692993164,9.317063331604004,15573827,143900,76207556,3,3,光学光电,2026-07-06
19,603026,石大胜华,-10.002224922180176,80.89,1221865872,18823185022.46,18823185022.46,16.71048927307129,6.208746910095215,16018404,150000,92123921,1,4,电池,2026-07-06
20,603638,艾迪精密,-10.0,25.11,1014858624,22076216780.579998,21880048471.2,36.44397735595703,4.483033657073975,18793227,150000,41821984,1,1,工程机械,2026-07-06
21,301197,工大科雅,-19.993959426879883,26.49,257434739,2880767632.5,3193104600.0,-112.25407409667969,8.547514915466309,20432425,095936,65427651,1,3,通用设备,2026-07-06
22,002842,翔鹭钨业,-9.98892593383789,40.64,1957205744,10910310269.76,13296286986.24,13.269125938415527,17.16388702392578,22344278,141103,104083104,2,0,小金属,2026-07-06
23,603778,国晟科技,-9.9827880859375,10.46,779053232,6724285705.320001,6904040658.88,-49.547943115234375,11.060163497924805,23692946,150000,133854526,1,11,光伏设备,2026-07-06
24,603588,高能环境,-10.0,17.82,2485250400,27144038023.74,27144038148.48,11.258708000183105,8.747601509094238,26943840,150000,144923287,1,13,环境治理,2026-07-06
25,002080,中材科技,-10.001174926757812,76.58,3791204240,128510704062.72,128510704062.72,63.309200286865234,2.8531408309936523,37600780,142000,239689962,1,12,玻璃玻纤,2026-07-06
26,600630,龙头股份,-9.979209899902344,8.66,171144973,3679301430.02,3679301456.0,37.16931915283203,4.633509159088135,41285701,100823,1211925093,2,9,服装家纺,2026-07-06
27,002657,中科金财,-10.009310722351074,19.33,425823232,6497343415.2,6573205159.999999,-47.68484878540039,6.390512943267822,46591292,102124,78421558,1,1,IT服务Ⅱ,2026-07-06
