序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,date
1,301689,N电科思,54.0,237.5,38.0,465351,2524557528.95,61.75,59.88,50.0,55.0,16.0,,80.84,150.24,11.67,2026-09-10
2,301699,C洛轴,31.03,-3.0,-0.96,394233,1254860187.34,13.19,33.82,29.6,29.6,31.99,0.7,56.37,39.32,4.85,2026-09-10
3,603448,C天博,65.05,-4.65,-3.17,65351,432635296.0,4.05,67.78,65.02,67.68,68.22,0.53,27.79,23.98,2.11,2026-09-10
4,301688,格林生物,36.92,-5.07,-1.97,61347,229659587.51,4.94,38.68,36.76,38.5,38.89,0.6,23.61,24.98,3.04,2026-09-10
5,601123,马矿股份,16.32,-5.39,-0.93,227596,379264883.0,5.39,17.23,16.3,16.85,17.25,0.64,23.75,24.06,4.09,2026-09-10
6,301697,贝特利,25.79,-1.64,-0.43,76861,198869122.03,3.05,26.42,25.62,26.0,26.22,0.5,17.47,35.66,4.11,2026-09-10
7,688835,高凯技术,252.98,-2.17,-5.6,15787,402486649.0,5.34,261.8,248.0,258.0,258.58,0.59,8.4,119.1,11.33,2026-09-10
8,301655,绿控传动,21.91,-2.67,-0.6,54050,119268658.64,2.44,22.44,21.89,22.43,22.51,0.63,12.02,40.46,6.43,2026-09-10
9,688836,宇树科技-W,498.55,-2.99,-15.38,28147,1410273255.0,1.97,508.0,497.88,508.0,513.93,0.83,9.35,367.97,22.92,2026-09-10
10,688826,频准激光,759.99,-2.07,-16.03,5570,422735216.0,3.78,774.84,745.5,762.3,776.02,0.63,7.31,172.07,13.23,2026-09-10
11,688828,国仪公司-U,87.24,-0.89,-0.78,28744,254015412.0,5.84,90.94,85.8,86.8,88.02,1.17,11.04,-248.13,24.62,2026-09-10
12,301717,超纯应材,320.5,-0.18,-0.59,23070,736020340.49,2.35,322.5,314.95,321.49,321.09,0.62,13.24,143.02,12.92,2026-09-10
