代码,名称,最新价,涨跌额,涨跌幅,买入,卖出,昨收,今开,最高,最低,成交量,成交额,时间戳,date
bj920000,安徽凤凰,19.36,-0.07,-0.36,19.35,19.36,19.43,19.44,19.58,19.2,934867.0,18154208.0,15:30:02,2025-12-30
bj920001,纬达光电,19.25,0.24,1.262,19.25,19.26,19.01,19.01,19.68,18.88,1716505.0,33088962.0,15:30:02,2025-12-30
bj920002,万达轴承,114.64,6.61,6.119,114.64,114.65,108.03,107.98,117.2,106.1,2771766.0,311771209.0,15:30:02,2025-12-30
bj920003,中诚咨询,33.22,-0.18,-0.539,33.22,33.23,33.4,33.6,33.6,33.15,370961.0,12337769.0,15:30:02,2025-12-30
bj920005,鼎佳精密,41.18,-0.49,-1.176,41.18,41.2,41.67,41.51,41.97,41.18,366190.0,15195391.0,15:30:02,2025-12-30
bj920006,晟楠科技,26.55,-0.62,-2.282,26.55,26.56,27.17,27.17,27.37,26.55,1742892.0,46755765.0,15:30:02,2025-12-30
bj920007,酉立智能,67.69,-0.11,-0.162,67.69,67.71,67.8,67.81,68.08,67.54,213396.0,14460937.0,15:30:02,2025-12-30
bj920008,成电光信,29.94,-0.51,-1.675,29.94,29.99,30.45,30.55,30.66,29.88,1293937.0,39006376.0,15:30:02,2025-12-30
bj920009,丹娜生物,76.51,-0.62,-0.804,76.51,76.55,77.13,77.48,77.48,76.4,318935.0,24511542.0,15:30:02,2025-12-30
bj920010,凯添燃气,11.2,-0.11,-0.973,11.19,11.2,11.31,11.3,11.3,11.19,4065905.0,45641528.0,15:30:02,2025-12-30
bj920014,特瑞斯,11.8,-0.07,-0.59,11.78,11.8,11.87,11.82,11.91,11.65,652659.0,7683816.0,15:30:02,2025-12-30
bj920015,锦华新材,47.67,-0.88,-1.813,47.67,47.7,48.55,48.58,48.92,47.64,1803156.0,86552977.0,15:30:02,2025-12-30
bj920016,中草香料,19.38,0.03,0.155,19.37,19.38,19.35,19.5,19.58,19.32,380049.0,7387726.0,15:30:02,2025-12-30
bj920017,星昊医药,18.19,-0.09,-0.492,18.19,18.25,18.28,18.26,18.34,18.07,1044572.0,19008804.0,15:30:02,2025-12-30
bj920018,宏远股份,27.15,-0.02,-0.074,27.15,27.16,27.17,27.17,27.43,27.0,772330.0,21013246.0,15:30:02,2025-12-30
bj920019,铜冠矿建,20.14,-0.44,-2.138,20.13,20.14,20.58,20.06,20.51,20.01,3046678.0,61579598.0,15:30:02,2025-12-30
bj920020,泰凯英,17.17,-0.18,-1.037,17.16,17.17,17.35,17.25,17.41,17.14,1187914.0,20506936.0,15:30:02,2025-12-30
bj920021,流金科技,6.58,-0.06,-0.904,6.57,6.58,6.64,6.66,6.78,6.53,11624005.0,77543901.0,15:30:02,2025-12-30
bj920022,世昌股份,29.57,-0.01,-0.034,29.57,29.58,29.58,29.66,30.09,29.5,515289.0,15310459.0,15:30:02,2025-12-30
bj920023,田野股份,4.66,-0.22,-4.508,4.66,4.67,4.88,4.88,4.93,4.66,33646386.0,159426512.0,15:30:02,2025-12-30
bj920026,卓兆点胶,35.64,1.09,3.155,35.64,35.66,34.55,34.54,35.7,34.08,1590120.0,55576656.0,15:30:02,2025-12-30
bj920027,交大铁发,21.42,-0.28,-1.29,21.42,21.43,21.7,21.7,21.88,21.31,1474585.0,31581050.0,15:30:02,2025-12-30
bj920029,开发科技,91.7,-0.03,-0.033,91.7,91.71,91.73,91.66,92.01,91.33,420555.0,38586432.0,15:30:02,2025-12-30
bj920030,德众汽车,6.55,-0.02,-0.304,6.55,6.56,6.57,6.62,6.63,6.51,2327367.0,15284658.0,15:30:02,2025-12-30
bj920033,康普化学,17.5,-0.39,-2.18,17.48,17.5,17.89,17.67,17.95,17.43,1608498.0,28335415.0,15:30:02,2025-12-30
bj920035,精创电气,41.97,-2.78,-6.212,41.97,41.98,44.75,44.11,44.11,41.8,2583500.0,111335816.0,15:30:02,2025-12-30
bj920037,广信科技,86.07,1.07,1.259,86.07,86.12,85.0,84.97,86.6,84.85,666043.0,57258106.0,15:30:02,2025-12-30
bj920039,国义招标,11.23,0.0,0.0,11.23,11.25,11.23,11.2,11.35,11.14,877086.0,9867012.0,15:30:02,2025-12-30
bj920046,亿能电力,13.5,-0.02,-0.148,13.5,13.51,13.52,13.49,13.62,13.35,1292011.0,17461269.0,15:30:02,2025-12-30
bj920047,诺思兰德,23.14,0.06,0.26,23.14,23.16,23.08,23.36,23.65,22.98,2590589.0,60552011.0,15:30:02,2025-12-30
bj920056,能之光,24.77,-0.4,-1.589,24.77,24.78,25.17,25.18,25.36,24.75,805204.0,20081818.0,15:30:02,2025-12-30
bj920057,百甲科技,6.47,0.01,0.155,6.47,6.48,6.46,6.43,6.52,6.39,1525966.0,9844962.0,15:30:02,2025-12-30
bj920058,华洋赛车,34.27,0.47,1.391,34.27,34.36,33.8,33.62,35.33,33.02,1327855.0,45635200.0,15:30:02,2025-12-30
bj920060,万源通,33.04,-0.51,-1.52,33.04,33.05,33.55,33.5,33.8,33.01,2234107.0,74586720.0,15:30:02,2025-12-30
bj920061,西磁科技,28.6,-0.3,-1.038,28.6,28.63,28.9,28.8,28.94,28.53,458279.0,13173006.0,15:30:02,2025-12-30
bj920062,科润智控,9.64,-0.04,-0.413,9.64,9.65,9.68,9.72,9.75,9.58,2062095.0,19950124.0,15:30:02,2025-12-30
bj920066,科拜尔,24.66,0.04,0.162,24.66,24.76,24.62,24.87,24.87,24.28,372306.0,9146997.0,15:30:02,2025-12-30
bj920068,天工股份,18.9,-0.68,-3.473,18.9,18.91,19.58,19.15,19.44,18.7,6893656.0,130598919.0,15:30:02,2025-12-30
bj920075,柏星龙,26.22,-0.33,-1.243,26.22,26.25,26.55,26.77,26.87,26.15,1021380.0,26898710.0,15:30:02,2025-12-30
bj920077,吉林碳谷,17.73,-0.57,-3.115,17.73,17.74,18.3,17.85,19.9,17.46,40600750.0,754725522.0,15:30:02,2025-12-30
bj920080,奥美森,28.08,0.68,2.482,28.08,28.1,27.4,27.48,28.16,27.11,1444300.0,39986034.0,15:30:02,2025-12-30
bj920082,方正阀门,17.06,0.15,0.887,17.06,17.07,16.91,16.92,17.27,16.82,538389.0,9177191.0,15:30:02,2025-12-30
bj920087,秋乐种业,16.06,-0.57,-3.428,16.06,16.1,16.63,16.66,17.16,15.98,9527945.0,157512014.0,15:30:02,2025-12-30
bj920088,科力股份,30.3,0.14,0.464,30.3,30.34,30.16,30.46,30.6,29.86,1695476.0,51194258.0,15:30:02,2025-12-30
bj920089,禾昌聚合,20.0,-0.48,-2.344,20.0,20.02,20.48,20.44,20.49,19.99,3735477.0,75459318.0,15:30:02,2025-12-30
bj920090,同辉信息,6.33,0.0,0.0,6.33,6.34,6.33,6.34,6.43,6.26,2865950.0,18182742.0,15:30:02,2025-12-30
bj920091,大鹏工业,91.5,2.9,3.273,91.5,91.58,88.6,86.0,95.0,83.33,6082564.0,545814296.0,15:30:02,2025-12-30
bj920092,汉鑫科技,36.92,-0.53,-1.415,36.92,36.93,37.45,37.55,37.59,36.8,2094408.0,77596656.0,15:30:02,2025-12-30
bj920098,科隆新材,30.6,-1.48,-4.613,30.58,30.6,32.08,31.85,32.05,30.5,2836480.0,88201712.0,15:30:02,2025-12-30
bj920099,瑞华技术,33.6,0.34,1.022,33.56,33.6,33.26,33.26,33.88,32.8,1287581.0,43215541.0,15:30:02,2025-12-30
bj920100,三协电机,77.59,6.49,9.128,77.58,77.59,71.1,69.0,84.88,68.0,5719376.0,428854120.0,15:30:02,2025-12-30
bj920101,志高机械,40.04,-0.22,-0.546,40.03,40.04,40.26,40.26,40.47,40.01,232373.0,9342455.0,15:30:02,2025-12-30
bj920106,林泰新材,80.26,0.15,0.187,80.26,80.3,80.11,79.98,81.77,79.36,534437.0,43044965.0,15:30:02,2025-12-30
bj920108,宏海科技,13.44,-0.11,-0.812,13.44,13.46,13.55,13.58,13.59,13.31,710436.0,9561695.0,15:30:02,2025-12-30
bj920110,雷特科技,35.72,0.16,0.45,35.72,35.79,35.56,35.37,35.95,35.17,128077.0,4565438.0,15:30:02,2025-12-30
bj920111,聚星科技,23.15,-0.05,-0.216,23.14,23.15,23.2,23.13,23.42,23.02,1047595.0,24319493.0,15:30:02,2025-12-30
bj920112,巴兰仕,37.98,0.0,0.0,37.78,37.98,37.98,37.95,38.05,37.76,285501.0,10803070.0,15:30:02,2025-12-30
bj920116,星图测控,80.39,-5.06,-5.922,80.38,80.39,85.45,84.98,84.98,80.02,5239140.0,428774045.0,15:30:02,2025-12-30
bj920118,太湖远大,22.55,-0.09,-0.398,22.5,22.55,22.64,22.63,22.78,22.46,376064.0,8506399.0,15:30:02,2025-12-30
bj920121,江天科技,46.14,-1.71,-3.574,46.14,46.15,47.85,48.45,48.45,46.07,3343497.0,156751955.0,15:30:02,2025-12-30
bj920122,中纺标,33.56,-0.54,-1.584,33.56,33.57,34.1,33.9,34.28,33.53,932720.0,31611527.0,15:30:02,2025-12-30
bj920123,芭薇股份,15.0,0.06,0.402,15.0,15.01,14.94,15.04,15.3,14.87,1260964.0,19036410.0,15:30:02,2025-12-30
bj920124,南特科技,18.34,-0.29,-1.557,18.33,18.34,18.63,18.58,18.58,18.27,5071059.0,93276862.0,15:30:02,2025-12-30
bj920128,胜业电气,26.28,-0.09,-0.341,26.15,26.28,26.37,26.38,26.59,26.1,562980.0,14779521.0,15:30:02,2025-12-30
bj920130,立方控股,23.18,1.22,5.556,23.17,23.18,21.96,23.0,24.38,23.0,4927028.0,116604097.0,15:30:02,2025-12-30
bj920132,泰鹏智能,16.6,0.13,0.789,16.59,16.6,16.47,16.58,16.64,16.32,812677.0,13418232.0,15:30:02,2025-12-30
bj920139,华岭股份,21.01,-0.18,-0.849,21.01,21.02,21.19,21.13,21.43,21.0,2604690.0,55092801.0,15:30:02,2025-12-30
