序号,代码,名称,涨跌幅,最新价,涨停价,成交额,流通市值,总市值,换手率,涨速,首次封板时间,炸板次数,涨停统计,振幅,所属行业,date
1,002149,西部材料,6.642291069030762,52.5,54.15,7586378240,25627311885.0,25631249280.0,29.004547119140625,0.0,093336,10,0/0,6.195409297943115,小金属,2026-02-02
2,002455,百川股份,-2.2940564155578613,9.37,10.55,2629183248,4865182232.78,5568201357.919999,50.86385726928711,0.5364806652069092,093339,1,4/3,13.660062789916992,化学制品,2026-02-02
3,002952,亚世光电,4.294736862182617,24.77,26.13,716784656,3260847442.64,4070701800.0,21.50146484375,-0.040355123579502106,093403,4,2/1,8.63157844543457,光学光电,2026-02-02
4,605123,派克新材,4.456262588500977,113.92,119.97,1257986784,13803788016.64,13803788016.64,8.848843574523926,-0.008777319453656673,093618,1,0/0,7.307904243469238,通用设备,2026-02-02
5,600537,亿晶光电,6.6878981590271,3.35,3.45,780868448,3965445310.3,3965445330.4,19.630733489990234,0.0,093759,2,0/0,8.280255317687988,光伏设备,2026-02-02
6,001330,博纳影业,7.083333492279053,10.28,10.56,2125762240,14130055155.519999,14130055237.759998,15.014052391052246,0.0,093827,1,0/0,8.958333015441895,文化传媒,2026-02-02
7,600779,水井坊,7.437620162963867,44.78,45.85,1223431072,21830393206.440002,21830393296.0,5.6339945793151855,0.13416816294193268,094809,2,0/0,11.012475967407227,酿酒行业,2026-02-02
8,300444,双杰电气,16.57671546936035,15.12,15.56,2477279920,9396274088.88,12075211330.56,26.943729400634766,0.0,095448,1,0/0,14.26368522644043,电网设备,2026-02-02
9,002218,拓日新能,4.745762825012207,6.18,6.49,1944495280,8605021178.82,8732466961.92,22.33853530883789,0.0,100030,1,0/0,11.355932235717773,光伏设备,2026-02-02
10,601179,中国西电,7.586207389831543,15.6,15.95,8671547904,79963764691.2,79963764940.8,10.872843742370605,0.0,100030,2,0/0,6.413792610168457,电网设备,2026-02-02
11,002099,海翔药业,7.5829386711120605,6.81,6.96,688427536,11002902447.029999,11023450838.88,6.305041313171387,0.2945508062839508,101139,1,0/0,11.216429710388184,化学制药,2026-02-02
12,002264,新 华 都,4.206501007080078,10.9,11.51,1561280032,7137132629.0,7845943126.400001,21.514101028442383,-0.09165902435779572,101315,2,0/0,11.281070709228516,互联网服,2026-02-02
13,601116,三江购物,5.967450141906738,17.58,18.25,1137623520,9628186272.0,9628186272.0,11.81845474243164,0.22805017232894897,101430,1,0/0,11.15129566192627,商业百货,2026-02-02
14,601869,长飞光纤,6.618830680847168,158.99,164.03,4531123200,64603728542.86,131628632484.96,7.030397891998291,-0.01886555179953575,104147,2,2/1,8.737929344177246,通信设备,2026-02-02
15,000767,晋控电力,3.9735100269317627,3.14,3.32,704682016,9144453809.04,9661598583.36,7.599165439605713,-0.3174603283405304,104915,2,0/0,10.927152633666992,电力行业,2026-02-02
16,301085,亚康股份,11.904762268066406,63.45,68.04,747870784,3737950029.9,5505916578.75,20.11224937438965,0.0,112209,1,0/0,18.818342208862305,互联网服,2026-02-02
17,600986,浙文互联,6.9412665367126465,14.02,14.42,7310549760,20852984349.239998,20852984377.28,35.33473205566406,-0.3553660213947296,112503,3,0/0,13.882533073425293,文化传媒,2026-02-02
18,000700,模塑科技,6.940298557281494,14.33,14.74,1752382544,13155160524.37,13155160567.36,13.422568321228027,-0.06973500549793243,130418,1,0/0,11.492536544799805,汽车零部,2026-02-02
