序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业,date
28,603636,南威软件,9.969788551330566,7.28,399876784,4225024607.44,4225024643.84,9.618610382080078,8106826,093454,141739,3,1/1,1,IT服务Ⅱ,2026-09-21
31,601086,国芳集团,10.024907112121582,17.67,1094392256,11768220000.000002,11768220000.000002,9.47368335723877,75268899,093654,094727,3,17/9,2,一般零售,2026-09-21
89,600857,宁波中百,10.009398460388184,23.41,185120753,5251329303.79,5251329303.79,3.6823172569274902,16951157,130847,130847,0,1/1,1,一般零售,2026-09-21
69,600712,南宁百货,10.09345817565918,5.89,420821024,3172638905.19,3208020070.3999996,13.592668533325195,6444249,103309,143048,8,1/1,1,一般零售,2026-09-21
47,600785,新华百货,9.980620384216309,11.35,310131440,3585281039.2,3585281039.2,8.872333526611328,50964416,095310,095310,0,1/1,1,一般零售,2026-09-21
61,000829,天音控股,10.022522926330566,9.77,524072544,10005746866.13,10015231220.64,5.3237199783325195,16090613,101909,135742,2,1/1,1,专业连锁,2026-09-21
45,603289,泰瑞机器,10.052355766296387,10.51,182383943,3083611655.74,3083611634.72,5.967064380645752,7487324,095001,132252,6,1/1,1,专用设备,2026-09-21
42,600894,广日股份,10.0,7.92,144019157,6677704004.4,6709873294.08,2.1976258754730225,6775560,094909,100751,1,1/1,1,专用设备,2026-09-21
26,002367,康力电梯,9.982486724853516,6.28,173780026,4991621770.68,5009841463.68,3.552574396133423,48861533,093436,093533,1,1/1,1,专用设备,2026-09-21
49,002349,精华制药,9.974746704101562,8.71,724683280,7091515708.68,7239127527.840001,10.446798324584961,91740235,095606,095606,0,1/1,1,中药Ⅱ,2026-09-21
72,002907,华森制药,10.028860092163086,15.25,364810480,5170446177.75,6368343880.0,7.1961469650268555,35495900,103730,103730,0,1/1,1,中药Ⅱ,2026-09-21
94,603175,超颖电子,10.004992485046387,110.17,359787232,5009897020.8,48147521065.76,7.475667476654053,16106854,132517,132517,0,1/1,1,元件,2026-09-21
27,001389,广合科技,9.998225212097168,185.93,2569046592,28330450472.420002,87893549520.96,9.167903900146484,87430235,093439,134839,1,1/1,1,元件,2026-09-21
44,001373,翔腾新材,10.00339126586914,32.44,84743413,1361198036.08,2228202646.72,6.374006748199463,54307998,094924,094924,0,1/1,1,光学光电,2026-09-21
81,000020,深华发Ａ,10.030863761901855,14.26,184250983,2583418475.66,4037879168.32,7.413936138153076,58725532,111706,111724,1,1/1,1,光学光电,2026-09-21
10,002614,奥佳华,10.035211563110352,6.25,68855612,2757970693.75,3898370000.0,2.4998083114624023,134393750,093000,093000,0,1/1,1,其他家电,2026-09-21
50,002388,新亚制程,9.95850658416748,7.95,408627840,4024476785.25,4026947080.8,10.425138473510742,123925395,095818,101754,1,4/2,1,其他电子,2026-09-21
90,001201,东瑞股份,9.986320495605469,16.08,260695826,3417118911.5999994,4145166736.0799994,7.893470764160156,9876094,131033,131033,0,1/1,1,养殖业,2026-09-21
63,002321,华英农业,10.047846794128418,2.3,260741049,4888075020.7,4905647147.2,5.556078910827637,58018859,102424,102424,0,3/2,1,养殖业,2026-09-21
64,600127,金健米业,9.98603343963623,15.75,2756484592,10108085683.5,10108085652.0,28.448190689086914,127612863,102445,105054,2,3/3,3,农产品加,2026-09-21
78,603395,红四方,10.007819175720215,28.14,447178208,1829100000.0,7316400000.0,25.368186950683594,40708280,110616,130231,2,1/1,1,农化制品,2026-09-21
12,601123,马矿股份,10.011248588562012,19.56,295928272,1874400726.4799998,24148993194.239998,15.859630584716797,90631885,093003,093003,0,6/3,2,冶钢原料,2026-09-21
16,601811,新华文轩,10.0,15.29,643302608,12108210631.0,18865429012.32,5.403228282928467,19101797,093021,101048,6,2/2,2,出版,2026-09-21
8,603230,内蒙新华,10.014836311340332,14.83,557005248,5242746090.0,5242746208.64,10.628140449523926,86492326,092502,093711,3,4/4,4,出版,2026-09-21
7,600825,新华传媒,9.98116683959961,5.84,14523846,6102145044.0,6102145079.04,0.2380121499300003,2488694228,092502,092502,0,1/1,1,出版,2026-09-21
14,002303,美盈森,10.0,6.27,213746074,6692369301.75,9601399473.599998,3.210078477859497,107545548,093015,093015,0,4/2,1,包装印刷,2026-09-21
