序号,代码,名称,涨跌幅,最新价,涨停价,成交额,流通市值,总市值,换手率,涨速,是否新高,量比,涨停统计,入选理由,所属行业,date
165,002957,科瑞技术,0.03824091702699661,26.16,28.77,988257632,10952639029.92,10986741258.24,8.929348945617676,0.11481055617332458,是,1.5064988136291504,0/0,60日新高,专用设备,2026-02-05
137,603960,克来机电,0.9103322625160217,22.17,24.17,207724931,5812927443.0,5812927443.0,3.56764554977417,-0.045085664838552475,是,0.9603888392448425,0/0,60日新高,专用设备,2026-02-05
5,301662,宏工科技,13.832853317260742,197.5,208.2,547689392,3283994845.0,15800000000.0,16.650732040405273,0.0,是,2.172321319580078,0/0,60日新高,专用设备,2026-02-05
213,600397,江钨装备,-4.565408229827881,10.87,12.53,659098352,10760863917.34,10760863982.56,5.982927322387695,-0.09191176295280457,是,1.0641621351242065,0/0,60日新高,专用设备,2026-02-05
163,688092,爱科科技,0.06493506580591202,30.82,36.96,51760246,2547696466.8,2547696466.8,2.0277791023254395,0.0,是,0.7599095106124878,0/0,60日新高,专用设备,2026-02-05
186,605288,凯迪股份,-1.1640676259994507,135.0,150.25,250191260,9476853120.0,9540856620.0,2.5831170082092285,-0.7352941036224365,是,0.9760308861732483,0/0,60日新高,专用设备,2026-02-05
198,688312,燕麦科技,-2.166917085647583,45.6,55.93,536055808,6647167449.6,6647167449.6,8.111371040344238,0.0,是,1.0415698289871216,0/0,60日新高,专用设备,2026-02-05
119,600750,华润江中,1.6354209184646606,25.48,27.58,171424675,16018903100.2,16178609982.08,1.0706942081451416,0.03926187753677368,是,0.9659153819084167,0/0,60日新高,中药,2026-02-05
135,002826,易明医药,1.0357816219329834,21.46,23.36,264925220,3741044307.94,4091944515.0,7.014241695404053,-0.5560704469680786,是,1.0022518634796143,0/0,60日新高,中药,2026-02-05
146,000423,东阿阿胶,0.5820298194885254,55.3,60.48,739381264,35558900100.5,35611918809.6,2.0832107067108154,-0.09033423662185669,是,0.853996992111206,0/0,60日新高,中药,2026-02-05
31,002264,新 华 都,9.965035438537598,12.58,12.58,1829323760,8237167749.8,9055226103.68,23.290042877197266,0.0,是,1.2728266716003418,1/1,60日新高,互联网服,2026-02-05
29,002291,遥望科技,9.975668907165527,9.04,9.04,970669680,7856892440.799999,8453578382.079999,12.542802810668945,0.0,否,0.5522921681404114,4/2,近期多次涨停,互联网服,2026-02-05
157,300923,研奥股份,0.27855151891708374,28.8,34.46,41489278,2202292800.0,2263680000.0,1.8749877214431763,0.0,是,0.7892598509788513,0/0,60日新高,交运设备,2026-02-05
161,301006,迈拓股份,0.21656739711761475,18.51,22.16,36404565,1593453711.0000002,2578072800.0,2.289684295654297,0.0,是,0.8864139318466187,0/0,60日新高,仪器仪表,2026-02-05
73,603778,国晟科技,3.8318912982940674,16.8,17.8,2499043904,10799999985.6,11031587750.4,23.719938278198242,0.0,否,1.6179516315460205,3/2,近期多次涨停,光伏设备,2026-02-05
206,300393,中来股份,-3.488372325897217,9.96,12.38,2538523536,9520814298.0,10852688505.6,26.044677734375,0.0,是,2.039299488067627,2/1,60日新高,光伏设备,2026-02-05
12,002506,协鑫集成,10.052909851074219,4.16,4.16,5196736000,24312834112.32,24337316823.04,21.672929763793945,0.0,是,1.3642152547836304,2/2,60日新高且近期多次涨停,光伏设备,2026-02-05
207,300317,珈伟新能,-3.5714287757873535,4.32,5.38,246454898,3580905909.6000004,3586413888.0,6.776703834533691,0.0,是,1.4534785747528076,0/0,60日新高,光伏设备,2026-02-05
77,301636,泽润新能,3.4983794689178467,92.6,107.36,930574048,1478540125.6,5914160409.799999,62.402584075927734,0.0,是,1.791059136390686,3/2,60日新高且近期多次涨停,光伏设备,2026-02-05
223,600481,双良节能,-9.990999221801758,10.0,12.22,1994641184,18737746080.0,18737746080.0,10.362239837646484,0.0,否,1.357187271118164,3/2,近期多次涨停,光伏设备,2026-02-05
118,002218,拓日新能,1.704545497894287,7.16,7.74,3502079424,9969571462.84,10117227095.04,34.39231872558594,-0.13947001099586487,是,1.6918998956680298,2/1,60日新高,光伏设备,2026-02-05
149,002983,芯瑞达,0.5376344323158264,26.18,28.64,326057760,3354403318.42,5855550249.78,9.616785049438477,-0.38051748275756836,是,1.0590651035308838,0/0,60日新高,光学光电,2026-02-05
211,688195,腾景科技,-3.7854249477386475,237.65,296.4,2588967680,30740027500.0,30740027500.0,8.383692741394043,0.0,是,1.0153700113296509,0/0,60日新高,光学光电,2026-02-05
61,603685,晨丰科技,4.620034694671631,24.23,25.48,159895221,4881515049.81,6080532262.64,3.3465163707733154,-0.04125412553548813,是,1.0644989013671875,0/0,60日新高,光学光电,2026-02-05
121,001326,联域股份,1.5994184017181396,55.9,60.52,147793069,1347376091.1,4091880000.0,10.876277923583984,-0.08936550468206406,是,1.2093347311019897,0/0,60日新高,光学光电,2026-02-05
178,688079,美迪凯,-0.7680491805076599,12.92,15.62,94456217,5220485148.56,5313068860.8,1.7864234447479248,0.0,是,1.0030604600906372,0/0,60日新高,光学光电,2026-02-05
171,002273,水晶光电,-0.4027828574180603,27.2,30.04,2291746608,37052162428.799995,37825196492.799995,6.174047470092773,-0.2201027274131775,是,1.198386549949646,0/0,60日新高,光学光电,2026-02-05
166,002299,圣农发展,-0.05800464004278183,17.23,18.96,307985456,21002296312.55,21418815073.44,1.4568790197372437,-0.05800464004278183,是,0.8416879177093506,0/0,60日新高,农牧饲渔,2026-02-05
