类别,周一0727,周二0728,周三0729,周四0730,周五0731
市场焦点股,"立新能源 8天7板;
爱丽家居 5连板;
长缆科技 5连板;
五洲医疗 4连板","艾艾精工 11天7板;
爱丽家居 6连板;
顺钠股份 4连板","艾艾精工 12天8板2连板;
爱丽家居 7连板;
东晶电子 5天4板2连板","爱丽家居 8连板;
传智教育 4连板;
明新旭腾 4连板","爱丽家居 9连板;
传智教育 5连板;
一鸣食品 4连板;
华天酒店 5天4板"
芯片产业链,"13只;
爱丽家居 5天5板;
至纯科技 2天2板;
新亚制程 2天2板;
国投中鲁 3天2板;","7只;
艾力家居 6天6板;
新亚制程 3天3板;
兴欣新材 2天2板","6只;
爱丽家居 7天7板;
兴欣新材 3天3板;
博通集成 4天2板;",,"9只;
爱丽家居 9天9板;"
PCB,12只;,,"2只;
中岩大地 5天3板;
贤丰控股 3天2板;",,"5只;
中岩大地 7天4板;"
机器人概念,"11只;
北自科技 3天2板;","5只;
华达科技 2天2板;
明新旭腾 2天2板;
华之杰 4天2板;","6只;
明新旭腾 3天3板;
华之杰 5天3板","4只;
明新旭腾 4天4板;","15只;
中国宝安 2天2板;"
医药,"9只;
珍宝岛 8天4板;
哈三联 4天3板;
海南海药 4天2板;
益佰制药 4天2板",,,"2只;
海南海药 12天6板;",
AI应用,8只;,"10只;
传智教育 2天2板;","3只;
天融信 2天2板;","6只;
苏州科达 4天2板;","29只;
传智教育 5天5板;
普联软件 2天2板;
泛微网络 2天2板;
税友股份 2天2板;
欢瑞世纪 3天2板。"
智能电网,"6只;
长缆科技 5天5板;
顺钠股份 3天3板",,"4只;
中电鑫龙 5天3板;
汉缆股份 5天3板;",,
人脑工程,"5只;
创新医疗 3天2板;","5只;
创新医疗 4天3板;
赛丽医疗 2天2板;
南京熊猫 2天2板;",,,
锂电池,"5只;
日科化学 3天2板;",,2只;,,
电力,"5只;
立新能源 8天7板;
文科股份 3天2板;
银星能源 3天2板;","2只;
新中港 5天3板;
东方新能 2天2板;",,,3只;
超级电容,4只,,,,
光纤光缆,3只,,,,
旅游酒店,3只,,,,
MLCC,2只,,2只;,2只;,
医疗美容,2只,,,,
光通信,2只,,1只;,,4只;
风电,"2只
中电电机 4天3板",,,,
算力工程,2只,4只;,,,14只;
电商,1只,,,,
其他,"五洲医疗 4天4板;
长城军工 3天3板;
国新能源 2天2板;
杰瑞股份 3天2板","海南海药 10天5板;
顺钠股份 4天4板;
中利集团 2天2板;
嘉美包装 2天2板;
华天酒店 2天2板",华天酒店 3天3板;,"爱丽家居 8天8板;
高争民爆 2天2板;
柳钢股份 2天2板;
海兴电力 2天2板，
华建集团 3天2板","华天酒店 5天4板;
高争民爆 3天3板;
神雾节能 2天2板;"
光刻机,,9只;,,,
食品饮料,,5只;,"16只;
一鸣食品 2天2板;","6只;
一鸣食品 3天3板;
均瑶健康 2天2板;","4只;
一鸣食品 4天4板;
安记食品 3天2板;"
摘帽,,"艾艾精工 11天7板;
东晶电子 4天3板;
亚振家居 2天2板;","6只;
艾艾精工 12天8板;
东晶电子 5天4板;
荣丰控股 5天3板。","4只;
传智教育 4天4板;
返利科技 2天2板;",
染料涂料,,2只;,,,
量子科技,,2只;,,,
游戏,,,4只;,,
家居装饰,,,4只;,,
固态电池,,,"4只;
孚日股份 5天3板;
圣阳股份 3天2板;",,
化工,,,4只;,,
商业零售,,,"3只;
东百集团 2天2板;",,
教育产业,,,"3只;
传智教育 3天3板;",,
新能源汽车,,,,5只;,
光伏,,,,3只;,
油气设服,,,,2只;,
智能驾驶,,,,2只;,
次新股,,,,2只;,
房地产概念,,,,,"3只;
香江控股 2天2板;"
液冷IDC,,,,,2只;
IDC电源,,,,,2只;
